episode,total_reward
1,-301.14255721714153
2,-5236.624793747422
3,-3388.1951511865473
4,-2887.4359257196384
5,-1163.3784036679358
6,-1163.0685543895531
7,-1084.2703941968678
8,-8438.731097219441
9,-9011.424419875511
10,-4793.534698594653
11,-891.5928252643531
12,-1311.1358572649274
13,-1812.6099473039465
14,-1547.4759226167487
15,-3003.1175351340703
16,-15092.457943792371
17,-14077.694052685461
18,-14013.79473250242
19,-14626.781783107195
20,-15217.54819814372
21,-13873.30011230059
22,-14140.594099930611
23,-16577.569141668384
24,-1142.508724195565
25,-1544.2218252658313
26,-1259.4342071698406
27,-1378.396388408743
28,-1349.0521659595038
29,-1273.2936314210735
30,-1294.1334402138216
31,-1483.495073314552
32,-1774.1063213159177
33,-19717.656178670633
34,-21379.49895948661
35,-1509.2675811783085
36,-1419.4245981332347
37,-1482.5062534185101
38,-1329.3765976352704
39,-1262.6356354974769
40,-1498.0000893821443
41,-1403.8577779261823
42,-4188.547997534694
43,-1208.7564026532402
44,-1122.3178666342724
45,-1563.1478511882246
46,-1158.079503651824
47,-1378.8860972283517
48,-1154.94696766424
49,-1234.1364493750598
50,-1208.2101887378521
51,-1200.7191500518693
52,-1183.4940892251313
53,-1778.376944186639
54,-1984.522665382192
55,-1202.3751978841701
56,-1523.449564381778
57,-1602.8037166608713
58,-1225.2792232617426
59,-1236.7900266492863
60,-1316.8806045543515
61,-856.1266757722758
62,-1073.376393295067
63,-1443.3007230409823
64,-1049.7830573466917
65,-974.0624790477965
66,-1090.50315217176
67,-1050.9937114244274
68,-1006.8958490335947
69,-988.3304296134779
70,-1100.1508328483235
71,-992.990993004447
72,-1032.127769107852
73,-1031.9342569572198
74,-969.8770651282568
75,-966.9708396341946
76,-1040.3266213744153
77,-965.0922950223934
78,-1645.8027727388899
79,-2979.659479307071
80,-3379.8387761275944
81,-3290.708575758862
82,-11107.349726984585
83,-6467.1214825596935
84,-6626.735736153644
85,-6345.6500239598045
86,-7490.587460518057
87,-8348.679249831719
88,-12276.320420005266
89,-8945.91527959603
90,-9912.025906819586
91,-2364.781761758506
92,-1495.8991315957703
93,-1510.8722280369661
94,-1720.7498309537687
95,-1476.1815528427485
96,-1321.987775226456
97,-6221.458876141537
98,-5925.02846204993
99,-2998.950002154877
100,-2920.8126338607453
101,-1643.6837292921896
102,-814.1105215032115
103,-2246.9371509623534
104,-1519.6992869856945
105,-1253.5813137849505
106,-2109.3420227448946
107,-1867.9206382592947
108,-1571.737381142642
109,-2080.0363256349683
110,-2958.0138056108176
111,-2264.869224675856
112,-3529.4831726216858
113,-1550.0487573449063
114,-1251.4962044655651
115,-1009.4846211302319
116,-913.2658518055927
117,-949.928790607136
118,-1094.7659746416994
119,-936.6660142819842
120,-989.1784445961811
121,-923.0141782153526
122,-1663.2501906086827
123,-1699.07740698661
124,-2028.858104556065
125,-1775.2401926483406
126,-1541.1878787497972
127,-1697.4196132951301
128,-1697.599632500223
129,-2538.851914402723
130,-6030.661545169593
131,-2079.864594950091
132,-3009.530387779507
133,-2259.364308428934
134,-2051.8977424253667
135,-1807.846103627058
136,-1880.2720066970994
137,-2021.7710820066932
138,-1384.9823166076264
139,-1426.0547920893875
140,-1372.7784958749492
141,-1732.7503635922797
142,-1656.5203290263405
143,-1515.0133123562216
144,-1455.0546761907467
145,-1682.9480288834484
146,-1678.1981239462145
147,-1915.2792309996175
148,-2138.812874596963
149,-2146.2359519313145
150,-3108.232340941969
151,-3564.1528569390903
152,-7999.144398511826
153,-3239.5221350110037
154,-2521.794323514157
155,-2673.626303226248
156,-3557.7056888487687
157,-3476.1189945411866
158,-3388.0389219363037
159,-6893.395779125038
160,-3914.994108822353
161,-5115.007323462178
162,-13915.659362270397
163,-5566.062771570874
164,-5574.432883220258
165,-7054.497677824183
166,-2409.319838745393
167,-2325.840588050674
168,-2508.585434277979
169,-3186.6472386066407
170,-3532.1427816041514
171,-8687.173504983037
172,-8713.79746207257
173,-12625.994112989065
174,-8800.493766387355
175,-9227.005829797568
176,-8892.845586808404
177,-8701.586149237357
178,-10374.596179718626
179,-13339.51139549624
180,-11605.617785645823
181,-12212.751372736784
182,-9463.65285301891
183,-1369.418519676944
184,-9873.343051174807
185,-7064.839687832467
186,-4746.113089342108
187,-7625.506238194828
188,-1926.8519545431254
189,-7868.645166939405
190,-1434.720115271363
191,-1590.330329125051
192,-12763.762933745911
193,-1754.4792091080117
194,-9952.465029807621
195,-5648.686043389411
196,-6632.9197851087265
197,-6818.337923902214
198,-4866.257459335438
199,-7950.157095201929
200,-8904.217270834793
201,-3217.32158557502
202,-5446.317264142563
203,-5350.169813110066
204,-8248.961874387918
205,-8472.131934038653
206,-8586.308241660421
207,-8882.33321807501
208,-6642.437560195342
209,-1034.7970387359728
210,-1073.6606288388366
211,-1121.4259127181767
212,-1062.8054661359108
213,-3206.6475017890134
214,-5674.599678841159
215,-5361.941135196488
216,-4578.506773452902
217,-3851.222510496893
218,-3589.006759434217
219,-3888.0861501142936
220,-3657.2516424919695
221,-3554.098031059286
222,-3579.1694254309614
223,-3604.151850291914
224,-3563.0885698844736
225,-3632.8179650499637
226,-2377.879548179938
227,-4114.8413569327895
228,-1907.8057383808157
229,-1302.9434776220248
230,-1173.2403491208381
231,-2194.9496968463773
232,-2478.4605004012856
233,-2494.456067155074
234,-2805.986322621084
235,-2973.965147279536
236,-3373.913403062927
237,-3107.62690360172
238,-3389.860462985879
239,-3033.9564828468897
240,-3602.248984168315
241,-2351.6617301567585
242,-4621.9529564213735
243,-2780.960981521364
244,-2788.7669578469818
245,-2420.3863116204943
246,-2157.6160204819744
247,-4850.0898623986295
248,-3938.495995570118
249,-2031.5784661540904
