episode,total_reward
1,-1259.1320914626122
2,-1495.7100578472018
3,-1495.5549048930407
4,-1495.1447898969054
5,-1496.247327066958
6,-1494.6478665918112
7,-1410.4932516142726
8,-791.9188147187233
9,-697.6288863122463
10,-1049.3757174909115
11,-1149.455148667097
12,-1114.9883311539888
13,-718.4256058037281
14,-665.7137765288353
15,-641.8008493483067
16,-691.6012774705887
17,-733.6782447397709
18,-684.5256139039993
19,-718.9073916375637
20,-707.598120123148
21,-716.3194185197353
22,-679.5211743116379
23,-609.8979054093361
24,-1484.1347881779075
25,-1492.0236871689558
26,-1496.1567362993956
27,-1496.1242268830538
28,-1495.6691302582622
29,-1496.7136782482266
30,-1495.9119407236576
31,-1497.4400927945971
32,-1496.7353544011712
33,-1497.3874332159758
34,-1490.7111748680472
35,-1495.417926095426
36,-1496.0314827635884
37,-1495.5046356245875
38,-1496.0799320042133
39,-1492.0519244000316
40,-1493.1653176248074
41,-1477.089801363647
42,-1462.6629481092095
43,-1462.8871757239103
44,-1474.322353221476
45,-1482.2592441216111
46,-1483.1978171095252
47,-1487.7102881893516
48,-1492.2076831907034
49,-1473.2101262956858
50,-1469.2969836220145
51,-1479.930863827467
52,-1477.141358114779
53,-1475.8585845530033
54,-1489.9326185509562
55,-1480.7886900007725
56,-1483.6987800821662
57,-1482.1735275611281
58,-1460.0602853521705
59,-1467.4400033950806
60,-1453.6578649133444
61,-1394.477749451995
62,-1481.9992857426405
63,-1472.7111639901996
64,-1340.584285184741
65,-1168.087061457336
66,-1278.4083927571774
67,-1489.453117504716
68,-1493.679374665022
69,-1491.9090793207288
70,-1468.2164646685123
71,-1493.3935459703207
72,-1494.7982883676887
73,-1496.4613834917545
74,-1492.9241042798385
75,-1484.3597161844373
76,-1493.2787528336048
77,-1495.841437265277
78,-1496.1303257867694
79,-1483.701043382287
80,-1490.7124348729849
81,-1461.822485923767
82,-1359.0672934055328
83,-1482.3835321068764
84,-1490.5229543223977
85,-1491.0234400480986
86,-1474.3940466046333
87,-1483.963011328131
88,-1489.1630802750587
89,-1489.3149749711156
90,-1495.575630299747
91,-1489.7654111087322
92,-1495.0839419588447
93,-1477.8452309966087
94,-1474.3331185355783
95,-1489.223430544138
96,-1369.895850598812
97,-1490.2180788442492
98,-1496.184884980321
99,-1483.549095660448
100,-1111.904244273901
101,-1356.8124108985066
102,-1455.5899388492107
103,-1432.356485158205
104,-1378.6522569954395
105,-1420.307669840753
106,-1359.7945190295577
107,-1167.2226563170552
108,-1358.5329160168767
109,-1138.1536785140634
110,-1311.084059752524
111,-1059.7054471895099
112,-982.4933853894472
113,-861.778552532196
114,-890.6723070964217
115,-902.0289913117886
116,-875.4088904038072
117,-1005.8758289441466
118,-930.2163007110357
119,-957.7608987912536
120,-1032.9543902799487
121,-976.2658133357763
122,-941.8849770575762
123,-913.9823367297649
124,-1081.6068773791194
125,-1081.0343482121825
126,-1054.7965696454048
127,-1027.0084886029363
128,-1495.97208122164
129,-1496.1867595016956
130,-1494.144876293838
131,-1496.5093711093068
132,-1496.3010283857584
133,-1496.3390755206347
134,-1496.5471208691597
135,-1495.403177447617
136,-1496.255522504449
137,-1490.1722901910543
138,-836.617141135037
139,-804.4768325090408
140,-800.7690460383892
141,-789.8602201342583
142,-788.2087869644165
143,-808.2306072711945
144,-784.4634183347225
145,-803.4986551403999
146,-805.3468323647976
147,-780.6213760674
148,-816.9663694500923
149,-793.1349883079529
150,-778.8969759941101
151,-780.1001317501068
152,-796.339015007019
153,-785.3643445372581
154,-788.6475759744644
155,-755.046889603138
156,-794.0147038400173
157,-799.1863354742527
158,-767.6083299517632
159,-764.370831310749
160,-790.9271328151226
161,-766.3650091290474
162,-777.5870800316334
163,-782.415801346302
164,-768.8891467452049
165,-766.7377356886864
166,-765.6013805270195
167,-761.6922985315323
168,-789.4974589943886
169,-812.1773503124714
170,-781.0929522514343
171,-790.062056273222
172,-775.952215731144
173,-794.8578926324844
174,-771.5561073422432
175,-813.3663945198059
176,-793.9429325163364
177,-784.7408077716827
178,-785.263231575489
179,-762.279401242733
